"time","ApparentPower","Current","Power","ReactivePower"
"2023-03-16T09:18:00.000+01:00","44","0.202","35","27"
"2023-03-16T09:18:10.000+01:00","45","0.206","37","25"
"2023-03-16T09:18:20.000+01:00","55","0.252","37","41"
"2023-03-16T09:18:30.000+01:00","44","0.203","36","25"
"2023-03-16T09:18:40.000+01:00","70","0.322","36","60"
"2023-03-16T09:18:50.000+01:00","45","0.206","37","25"
"2023-03-16T09:19:00.000+01:00","74","0.343","69","28"
"2023-03-16T09:19:10.000+01:00","47","0.217","38","27"
"2023-03-16T09:19:20.000+01:00","44","0.203","35","27"
"2023-03-16T09:19:30.000+01:00","44","0.203","35","27"
"2023-03-16T09:19:40.000+01:00","44","0.204","35","26"
"2023-03-16T09:19:50.000+01:00","43","0.198","35","24"
"2023-03-16T09:20:00.000+01:00","43","0.199","35","25"
"2023-03-16T09:20:10.000+01:00","44","0.204","35","27"
"2023-03-16T09:20:20.000+01:00","45","0.209","38","25"
"2023-03-16T09:20:30.000+01:00","70","0.325","41","57"
"2023-03-16T09:20:40.000+01:00","45","0.208","45","0"
"2023-03-16T09:20:50.000+01:00","44","0.202","34","27"
"2023-03-16T09:21:00.000+01:00","45","0.207","36","27"
"2023-03-16T09:21:10.000+01:00","45","0.209","37","26"
"2023-03-16T09:21:20.000+01:00","45","0.207","37","26"
"2023-03-16T09:21:30.000+01:00","44","0.202","35","26"
"2023-03-16T09:21:40.000+01:00","44","0.203","35","26"
"2023-03-16T09:21:50.000+01:00","44","0.204","35","27"
"2023-03-16T09:22:00.000+01:00","99","0.458","99","0"
"2023-03-16T09:22:10.000+01:00","88","0.405","86","17"
"2023-03-16T09:22:20.000+01:00","101","0.465","86","52"
"2023-03-16T09:22:30.000+01:00","90","0.413","90","0"
"2023-03-16T09:22:40.000+01:00","83","0.382","78","28"
"2023-03-16T09:22:50.000+01:00","87","0.401","80","34"
"2023-03-16T09:23:00.000+01:00","101","0.465","97","28"
"2023-03-16T09:23:10.000+01:00","92","0.425","86","34"
"2023-03-16T09:23:20.000+01:00","74","0.343","70","26"
"2023-03-16T09:23:30.000+01:00","77","0.355","69","35"
"2023-03-16T09:23:40.000+01:00","70","0.321","62","31"
"2023-03-16T09:23:50.000+01:00","78","0.36","64","46"
"2023-03-16T09:24:00.000+01:00","79","0.363","76","22"
"2023-03-16T09:24:10.000+01:00","68","0.314","65","20"
"2023-03-16T09:24:20.000+01:00","69","0.318","69","0"
"2023-03-16T09:24:30.000+01:00","72","0.332","67","26"
"2023-03-16T09:24:40.000+01:00","71","0.326","63","33"
"2023-03-16T09:24:50.000+01:00","44","0.205","42","14"
"2023-03-16T09:25:00.000+01:00","45","0.207","45","0"
"2023-03-16T09:25:10.000+01:00","58","0.265","36","45"
"2023-03-16T09:25:20.000+01:00","48","0.22","38","29"
"2023-03-16T09:25:30.000+01:00","70","0.325","44","55"
"2023-03-16T09:25:40.000+01:00","69","0.318","57","38"
"2023-03-16T09:25:50.000+01:00","47","0.216","44","15"
"2023-03-16T09:26:00.000+01:00","61","0.283","54","30"
"2023-03-16T09:26:10.000+01:00","44","0.204","36","26"
"2023-03-16T09:26:20.000+01:00","50","0.23","42","28"
"2023-03-16T09:26:30.000+01:00","50","0.23","36","35"
"2023-03-16T09:26:40.000+01:00","43","0.198","34","26"
"2023-03-16T09:26:50.000+01:00","42","0.196","35","24"
"2023-03-16T09:27:00.000+01:00","44","0.202","36","25"
"2023-03-16T09:27:10.000+01:00","71","0.327","39","59"
"2023-03-16T09:27:20.000+01:00","43","0.199","37","22"
"2023-03-16T09:27:30.000+01:00","42","0.195","42","0"
"2023-03-16T09:27:40.000+01:00","43","0.197","34","26"
"2023-03-16T09:27:50.000+01:00","42","0.192","34","24"
"2023-03-16T09:28:00.000+01:00","43","0.2","35","25"
"2023-03-16T09:28:10.000+01:00","43","0.198","35","25"
"2023-03-16T09:28:20.000+01:00","43","0.198","34","26"
"2023-03-16T09:28:30.000+01:00","43","0.196","34","26"
"2023-03-16T09:28:40.000+01:00","43","0.198","34","26"
"2023-03-16T09:28:50.000+01:00","50","0.229","36","34"
"2023-03-16T09:29:00.000+01:00","70","0.324","46","53"
"2023-03-16T09:29:10.000+01:00","43","0.2","43","0"
"2023-03-16T09:29:20.000+01:00","44","0.203","40","19"
"2023-03-16T09:29:30.000+01:00","43","0.2","36","25"
"2023-03-16T09:29:40.000+01:00","43","0.199","36","25"
"2023-03-16T09:29:50.000+01:00","43","0.199","40","16"
"2023-03-16T09:30:00.000+01:00","44","0.201","36","24"
"2023-03-16T09:30:10.000+01:00","44","0.201","35","26"
"2023-03-16T09:30:20.000+01:00","44","0.201","35","26"
"2023-03-16T09:30:30.000+01:00","49","0.228","36","34"
"2023-03-16T09:30:40.000+01:00","63","0.292","39","50"
"2023-03-16T09:30:50.000+01:00","43","0.198","43","0"
"2023-03-16T09:31:00.000+01:00","43","0.199","36","23"
"2023-03-16T09:31:10.000+01:00","46","0.211","38","25"
"2023-03-16T09:31:20.000+01:00","60","0.277","36","48"
"2023-03-16T09:31:30.000+01:00","44","0.201","35","26"
"2023-03-16T09:31:40.000+01:00","50","0.23","50","0"
"2023-03-16T09:31:50.000+01:00","43","0.2","35","26"
"2023-03-16T09:32:00.000+01:00","44","0.201","35","27"
"2023-03-16T09:32:10.000+01:00","45","0.207","35","29"
"2023-03-16T09:32:20.000+01:00","69","0.319","40","57"
"2023-03-16T09:32:30.000+01:00","45","0.205","36","26"
"2023-03-16T09:32:40.000+01:00","43","0.2","43","0"
"2023-03-16T09:32:50.000+01:00","42","0.194","34","25"
"2023-03-16T09:33:00.000+01:00","74","0.339","74","0"
"2023-03-16T09:33:10.000+01:00","93","0.426","73","57"
"2023-03-16T09:33:20.000+01:00","73","0.337","59","43"
"2023-03-16T09:33:30.000+01:00","47","0.216","39","26"
"2023-03-16T09:33:40.000+01:00","46","0.21","36","28"
"2023-03-16T09:33:50.000+01:00","45","0.209","37","27"
"2023-03-16T09:34:00.000+01:00","71","0.326","36","61"
"2023-03-16T09:34:10.000+01:00","44","0.202","44","0"
"2023-03-16T09:34:20.000+01:00","44","0.204","44","0"
"2023-03-16T09:34:30.000+01:00","44","0.204","34","28"
"2023-03-16T09:34:40.000+01:00","43","0.198","37","21"
"2023-03-16T09:34:50.000+01:00","48","0.223","38","30"
"2023-03-16T09:35:00.000+01:00","48","0.221","35","33"
"2023-03-16T09:35:10.000+01:00","49","0.227","39","31"
"2023-03-16T09:35:20.000+01:00","128","0.591","110","66"
"2023-03-16T09:35:30.000+01:00","85","0.393","85","0"
"2023-03-16T09:35:40.000+01:00","87","0.402","38","78"
"2023-03-16T09:35:50.000+01:00","58","0.269","58","0"
"2023-03-16T09:36:00.000+01:00","71","0.328","54","47"
