"time","ApparentPower","Current","Power","ReactivePower","Voltage"
"2023-02-17T09:46:00.000+01:00","43","0.195","34","26","219"
"2023-02-17T09:46:10.000+01:00","56","0.257","34","45","219"
"2023-02-17T09:46:20.000+01:00","71","0.325","41","58","218"
"2023-02-17T09:46:30.000+01:00","45","0.205","45","0","219"
"2023-02-17T09:46:40.000+01:00","47","0.213","47","0","219"
"2023-02-17T09:46:50.000+01:00","42","0.194","42","0","219"
"2023-02-17T09:47:00.000+01:00","42","0.193","33","26","219"
"2023-02-17T09:47:10.000+01:00","43","0.195","35","24","219"
"2023-02-17T09:47:20.000+01:00","52","0.237","34","39","219"
"2023-02-17T09:47:30.000+01:00","42","0.192","34","25","219"
"2023-02-17T09:47:40.000+01:00","42","0.194","35","24","219"
"2023-02-17T09:47:50.000+01:00","42","0.194","42","0","219"
"2023-02-17T09:48:00.000+01:00","69","0.317","35","60","219"
"2023-02-17T09:48:10.000+01:00","45","0.205","35","28","219"
"2023-02-17T09:48:20.000+01:00","70","0.32","65","27","219"
"2023-02-17T09:48:30.000+01:00","44","0.199","35","26","219"
"2023-02-17T09:48:40.000+01:00","47","0.213","35","31","219"
"2023-02-17T09:48:50.000+01:00","49","0.223","34","35","219"
"2023-02-17T09:49:00.000+01:00","46","0.209","33","31","219"
"2023-02-17T09:49:10.000+01:00","53","0.243","34","41","219"
"2023-02-17T09:49:20.000+01:00","47","0.216","35","32","219"
"2023-02-17T09:49:30.000+01:00","43","0.195","33","26","218"
"2023-02-17T09:49:40.000+01:00","42","0.194","34","26","219"
"2023-02-17T09:49:50.000+01:00","66","0.302","34","57","219"
"2023-02-17T09:50:00.000+01:00","46","0.209","46","0","219"
"2023-02-17T09:50:10.000+01:00","44","0.202","44","0","218"
"2023-02-17T09:50:20.000+01:00","44","0.2","37","24","219"
"2023-02-17T09:50:30.000+01:00","56","0.254","41","37","219"
"2023-02-17T09:50:40.000+01:00","42","0.193","40","14","219"
"2023-02-17T09:50:50.000+01:00","42","0.192","37","20","219"
"2023-02-17T09:51:00.000+01:00","42","0.191","36","22","220"
"2023-02-17T09:51:10.000+01:00","44","0.203","35","28","219"
"2023-02-17T09:51:20.000+01:00","43","0.197","35","26","219"
"2023-02-17T09:51:30.000+01:00","44","0.203","35","27","219"
"2023-02-17T09:51:40.000+01:00","44","0.199","34","27","219"
"2023-02-17T09:51:50.000+01:00","69","0.317","53","45","219"
"2023-02-17T09:52:00.000+01:00","42","0.192","34","25","219"
"2023-02-17T09:52:10.000+01:00","47","0.213","35","31","219"
"2023-02-17T09:52:20.000+01:00","56","0.257","36","44","219"
"2023-02-17T09:52:30.000+01:00","46","0.21","35","30","219"
"2023-02-17T09:52:40.000+01:00","43","0.197","35","26","219"
"2023-02-17T09:52:50.000+01:00","43","0.194","34","26","220"
"2023-02-17T09:53:00.000+01:00","42","0.191","33","25","219"
"2023-02-17T09:53:10.000+01:00","42","0.194","42","7","219"
"2023-02-17T09:53:20.000+01:00","48","0.219","34","34","219"
"2023-02-17T09:53:30.000+01:00","63","0.288","34","54","219"
"2023-02-17T09:53:40.000+01:00","77","0.352","71","31","219"
"2023-02-17T09:53:50.000+01:00","63","0.285","63","0","220"
"2023-02-17T09:54:00.000+01:00","50","0.227","50","0","219"
"2023-02-17T09:54:10.000+01:00","60","0.276","46","39","219"
"2023-02-17T09:54:20.000+01:00","56","0.254","56","0","220"
"2023-02-17T09:54:30.000+01:00","50","0.228","48","15","220"
"2023-02-17T09:54:40.000+01:00","44","0.202","36","25","219"
"2023-02-17T09:54:50.000+01:00","105","0.479","78","71","220"
"2023-02-17T09:55:00.000+01:00","44","0.202","43","11","219"
"2023-02-17T09:55:10.000+01:00","45","0.205","39","22","219"
"2023-02-17T09:55:20.000+01:00","70","0.318","70","0","219"
"2023-02-17T09:55:30.000+01:00","60","0.272","36","48","219"
"2023-02-17T09:55:40.000+01:00","51","0.232","35","37","219"
"2023-02-17T09:55:50.000+01:00","46","0.21","35","30","219"
"2023-02-17T09:56:00.000+01:00","54","0.247","35","41","219"
"2023-02-17T09:56:10.000+01:00","44","0.2","38","22","219"
"2023-02-17T09:56:20.000+01:00","44","0.201","36","25","219"
"2023-02-17T09:56:30.000+01:00","55","0.252","35","43","218"
