relay,temperature,overtemperature,energy,power
1,29.92,0,34,0
1,29.92,0,34,0
1,30.54,0,34,0
1,30.54,0,34,0
1,30.82,0,34,0
1,30.82,0,34,0
1,31.05,0,34,0
1,31.05,0,34,0
1,30.82,0,34,0
1,30.82,0,34,0
1,30.71,0,34,0
1,30.71,0,34,0
1,30.49,0,34,0
1,30.49,0,34,0
1,30.54,0,34,0
1,30.54,0,34,0
1,30.15,0,34,0
1,30.15,0,34,0
1,30.65,0,34,0
1,30.65,0,34,0
1,30.49,0,34,4.43
1,30.49,0,34,4.43
1,30.49,0,34,0
1,30.49,0,34,0
1,29.92,0,34,0
1,29.92,0,34,0
1,30.93,0,34,0
1,30.93,0,34,0
1,30.77,0,34,0
1,30.77,0,34,0
1,30.71,0,34,0
1,30.71,0,34,0
1,30.49,0,34,0
1,30.49,0,34,0
1,30.6,0,34,0
1,30.6,0,34,0
1,30.65,0,34,0
1,30.65,0,34,0
1,30.6,0,34,0
1,30.6,0,34,0
